name,scryfall_id,set,collector_number,type_line,oracle_text,color_identity
A-Acererak the Archlich,eb363654-2004-4db8-bbd2-5b121da4f2a0,afr,A-87,Legendary Creature — Zombie Wizard,"When Acererak the Archlich enters, if you haven't completed Tomb of Annihilation, return Acererak the Archlich to its owner's hand and venture into the dungeon. Whenever Acererak the Archlich attacks, create a number of 2/2 black Zombie creature tokens equal to the number of opponents you have.",B
"A-Alrund, God of the Cosmos // A-Hakka, Whispering Raven",b443504e-1b25-4565-bad7-2575826c7bb9,khm,A-40,Legendary Creature — God // Legendary Creature — Bird,,U
"Aang, Airbending Master",de7a150b-1b0d-4928-a2cc-80a4b7412350,tle,74,Legendary Creature — Human Avatar Ally,"When Aang enters, airbend another target creature. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.) Whenever one or more creatures you control leave the battlefield without dying, you get an experience counter. At the beginning of your upkeep, create a 1/1 white Ally creature token for each experience counter you have.",W
"Aang, Air Nomad",f369827d-e4cd-4bc7-8c5e-72882eff0908,tle,210,Legendary Creature — Human Avatar Ally,Flying (This creature can't be blocked except by creatures with flying or reach.) Vigilance (Attacking doesn't cause this creature to tap.) Other creatures you control have vigilance.,W
"Aang, the Last Airbender",245e008c-e073-443f-9592-6f628c0026ec,tla,4,Legendary Creature — Human Avatar Ally,"Flying When Aang enters, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.) Whenever you cast a Lesson spell, Aang gains lifelink until end of turn.",W
"Aatchik, Emerald Radian",fbdaa29b-85ff-4a06-b27e-fcdbdfd4a3fe,dft,187,Legendary Creature — Insect Druid,"When Aatchik enters, create a 1/1 green Insect creature token for each artifact and/or creature card in your graveyard. Whenever another Insect you control dies, put a +1/+1 counter on Aatchik. Each opponent loses 1 life.",BG
Abaddon the Despoiler,c9f1fc97-00c0-492b-a4a3-b179afc2f95d,40k,2,Legendary Creature — Astartes Warrior,"Trample Mark of Chaos Ascendant — During your turn, spells you cast from your hand with mana value X or less have cascade, where X is the total amount of life your opponents have lost this turn.",BRU
"Abdel Adrian, Gorion's Ward",396f9198-67b6-45d8-91b4-dc853bff9623,clb,2,Legendary Creature — Human Warrior,"When Abdel Adrian enters, exile any number of other nonland permanents you control until Abdel Adrian leaves the battlefield. Create a 1/1 white Soldier creature token for each permanent exiled this way. Choose a Background (You can have a Background as a second commander.)",W
Abomination of Llanowar,4b68bc46-5591-44dd-becc-eca154066925,khc,81,Legendary Creature — Elf Horror,Vigilance; menace (This creature can't be blocked except by two or more creatures.) Abomination of Llanowar's power and toughness are each equal to the number of Elves you control plus the number of Elf cards in your graveyard.,BG
"Aboshan, Cephalid Emperor",82db4a41-03e8-4f0c-946c-a98fc5c9f7c8,ody,58,Legendary Creature — Octopus Noble,Tap an untapped Octopus you control: Tap target permanent. {U}{U}{U}: Tap all creatures without flying.,U
A-Bruenor Battlehammer,7ad77890-cf97-4707-ab31-be0f5be0e120,afr,A-219,Legendary Creature — Dwarf Warrior,Each creature you control gets +2/+0 for each Equipment attached to it. {0}: Attach target Equipment you control to target creature you control. Activate only as a sorcery and only once each turn.,RW
Absolute Virtue,aa192912-c9ee-403f-8a46-a338c9edb4b9,fin,212,Legendary Creature — Avatar Warrior,"This spell can't be countered. Flying You have protection from each of your opponents. (You can't be dealt damage, enchanted, or targeted by anything controlled by your opponents.)",UW
"Abuelo, Ancestral Echo",40eee689-2514-421a-8056-eb7668be66ff,lci,219,Legendary Creature — Spirit,"Flying, ward {2} {1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.",UW
