commander,card,percent,synergy,section
Kaalia of the Vast,Radiant Summit,0.0,0.0,
Kaalia of the Vast,Starfield Shepherd,0.0,0.02,
Kaalia of the Vast,Astelli Reclaimer,0.0,0.01,
Kaalia of the Vast,Exalted Sunborn,0.0,-0.03,
Kaalia of the Vast,Lightstall Inquisitor,0.0,0.01,
Kaalia of the Vast,"Gisela, Blade of Goldnight",0.0,0.65,
Kaalia of the Vast,Rune-Scarred Demon,0.0,0.62,
Kaalia of the Vast,"Avacyn, Angel of Hope",0.0,0.58,
Kaalia of the Vast,"Aurelia, the Warleader",0.0,0.55,
Kaalia of the Vast,"Sephara, Sky's Blade",0.0,0.54,
Kaalia of the Vast,"Liesa, Forgotten Archangel",0.0,0.52,
Kaalia of the Vast,Master of Cruelties,0.0,0.52,
Kaalia of the Vast,"Kaalia, Zenith Seeker",0.0,0.46,
Kaalia of the Vast,Balefire Dragon,0.0,0.45,
Kaalia of the Vast,"Vilis, Broker of Blood",0.0,0.44,
Kaalia of the Vast,Lightning Greaves,0.0,0.42,
Kaalia of the Vast,Swiftfoot Boots,0.0,0.4,
Kaalia of the Vast,Swords to Plowshares,0.0,0.06,
Kaalia of the Vast,Path to Exile,0.0,0.12,
Kaalia of the Vast,Angel of Despair,0.0,0.42,
Kaalia of the Vast,Lord of the Void,0.0,0.41,
Kaalia of the Vast,Reya Dawnbringer,0.0,0.4,
Kaalia of the Vast,"Isshin, Two Heavens as One",0.0,0.31,
Kaalia of the Vast,Phyrexian Arena,0.0,0.24,
Kaalia of the Vast,Boros Charm,0.0,0.13,
Kaalia of the Vast,Demonic Tutor,0.0,0.17,
Kaalia of the Vast,Smothering Tithe,0.0,0.09,
Kaalia of the Vast,Teferi's Protection,0.0,0.14,
Kaalia of the Vast,Deflecting Swat,0.0,0.15,
Kaalia of the Vast,Vampiric Tutor,0.0,0.1,
Kaalia of the Vast,Enlightened Tutor,0.0,0.04,
Kaalia of the Vast,Ancient Tomb,0.0,0.05,
Kaalia of the Vast,The One Ring,0.0,0.05,
Kaalia of the Vast,Necropotence,0.0,0.06,
Kaalia of the Vast,Chrome Mox,0.0,0.03,
Kaalia of the Vast,Serra's Emissary,0.0,0.37,
Kaalia of the Vast,Drana and Linvala,0.0,0.32,
Kaalia of the Vast,"Rakdos, Patron of Chaos",0.0,0.35,
Kaalia of the Vast,Mother of Runes,0.0,0.32,
Kaalia of the Vast,Terror of the Peaks,0.0,0.34,
Kaalia of the Vast,Hellkite Tyrant,0.0,0.33,
Kaalia of the Vast,Angel of Serenity,0.0,0.33,
Kaalia of the Vast,Angelic Arbiter,0.0,0.3,
Kaalia of the Vast,Archfiend of Depravity,0.0,0.29,
Kaalia of the Vast,"Valgavoth, Terror Eater",0.0,0.29,
Kaalia of the Vast,Ancient Copper Dragon,0.0,0.24,
Kaalia of the Vast,Archfiend of Despair,0.0,0.28,
Kaalia of the Vast,"Razaketh, the Foulblooded",0.0,0.28,
Kaalia of the Vast,Grand Abolisher,0.0,0.19,
Kaalia of the Vast,"Drakuseth, Maw of Flames",0.0,0.23,
Kaalia of the Vast,Bloodthirster,0.0,0.24,
Kaalia of the Vast,"Bruna, the Fading Light",0.0,0.23,
Kaalia of the Vast,"Akroma, Angel of Wrath",0.0,0.23,
Kaalia of the Vast,Ancient Brass Dragon,0.0,0.2,
Kaalia of the Vast,Twinflame Tyrant,0.0,0.22,
Kaalia of the Vast,Lyra Dawnbringer,0.0,0.22,
Kaalia of the Vast,"Aurelia, the Law Above",0.0,0.17,
Kaalia of the Vast,Bloodgift Demon,0.0,0.21,
Kaalia of the Vast,Bloodletter of Aclazotz,0.0,0.15,
Kaalia of the Vast,Esper Sentinel,0.0,0.05,
Kaalia of the Vast,"Neriv, Heart of the Storm",0.0,0.17,
Kaalia of the Vast,"Gisela, the Broken Blade",0.0,0.2,
Kaalia of the Vast,Sower of Discord,0.0,0.2,
Kaalia of the Vast,Blast-Furnace Hellkite,0.0,0.2,
Kaalia of the Vast,"Tariel, Reckoner of Souls",0.0,0.19,
Kaalia of the Vast,"Ob Nixilis, Unshackled",0.0,0.19,
Kaalia of the Vast,Burning-Rune Demon,0.0,0.19,
Kaalia of the Vast,"Giada, Font of Hope",0.0,0.18,
Kaalia of the Vast,Harvester of Souls,0.0,0.17,
Kaalia of the Vast,Aegis Angel,0.0,0.18,
Kaalia of the Vast,Ancient Gold Dragon,0.0,0.15,
Kaalia of the Vast,Herald of Eternal Dawn,0.0,0.17,
Kaalia of the Vast,Platinum Angel,0.0,0.16,
Kaalia of the Vast,Giver of Runes,0.0,0.15,
Kaalia of the Vast,Hoarding Broodlord,0.0,0.14,
Kaalia of the Vast,Steel Hellkite,0.0,0.15,
Kaalia of the Vast,Karmic Guide,0.0,0.11,
Kaalia of the Vast,Scourge of the Throne,0.0,0.14,
Kaalia of the Vast,Demonlord Belzenlok,0.0,0.14,
Kaalia of the Vast,Utvara Hellkite,0.0,0.14,
Kaalia of the Vast,Firemane Commando,0.0,0.12,
Kaalia of the Vast,"Akroma, Angel of Fury",0.0,0.14,
Kaalia of the Vast,"Rakdos, Lord of Riots",0.0,0.13,
Kaalia of the Vast,"Shilgengar, Sire of Famine",0.0,0.13,
Kaalia of the Vast,Angelic Skirmisher,0.0,0.13,
Kaalia of the Vast,Anguished Unmaking,0.0,0.03,
Kaalia of the Vast,Flawless Maneuver,0.0,0.15,
Kaalia of the Vast,Terminate,0.0,0.16,
Kaalia of the Vast,Mortify,0.0,0.1,
Kaalia of the Vast,Dark Ritual,0.0,0.1,
Kaalia of the Vast,Crackling Doom,0.0,0.04,
Kaalia of the Vast,Akroma's Will,0.0,0.08,
Kaalia of the Vast,Chaos Warp,0.0,0.01,
Kaalia of the Vast,Deadly Rollick,0.0,0.08,
Kaalia of the Vast,Despark,0.0,0.0,
Kaalia of the Vast,Generous Gift,0.0,-0.05,
Kaalia of the Vast,Dawn's Truce,0.0,0.04,
Kaalia of the Vast,Rakdos Charm,0.0,0.01,
Kaalia of the Vast,Silence,0.0,0.05,
Kaalia of the Vast,Thrill of Possibility,0.0,0.01,
Kaalia of the Vast,Fracture,0.0,0.01,
Kaalia of the Vast,Utter End,0.0,0.03,
Kaalia of the Vast,Malakir Rebirth,0.0,0.02,
Kaalia of the Vast,Flare of Fortitude,0.0,0.04,
Kaalia of the Vast,Return to Dust,0.0,0.04,
Kaalia of the Vast,Pyroblast,0.0,0.02,
Kaalia of the Vast,Bedevil,0.0,0.0,
Kaalia of the Vast,Stroke of Midnight,0.0,-0.05,
Kaalia of the Vast,Wear // Tear,0.0,-0.05,
Kaalia of the Vast,Red Elemental Blast,0.0,0.02,
Kaalia of the Vast,Entomb,0.0,-0.0,
Kaalia of the Vast,Surge of Salvation,0.0,0.04,
Kaalia of the Vast,Sejiri Shelter,0.0,0.03,
Kaalia of the Vast,Ephemerate,0.0,0.01,
Kaalia of the Vast,Ruinous Ultimatum,0.0,-0.02,
Kaalia of the Vast,Reanimate,0.0,0.18,
Kaalia of the Vast,Demonic Counsel,0.0,0.25,
Kaalia of the Vast,Damn,0.0,0.07,
Kaalia of the Vast,Read the Bones,0.0,0.14,
Kaalia of the Vast,Diabolic Tutor,0.0,0.15,
Kaalia of the Vast,Night's Whisper,0.0,0.08,
Kaalia of the Vast,Faithless Looting,0.0,0.06,
Kaalia of the Vast,Blasphemous Act,0.0,-0.01,
Kaalia of the Vast,Farewell,0.0,0.09,
Kaalia of the Vast,Sign in Blood,0.0,0.11,
Kaalia of the Vast,Wrath of God,0.0,0.11,
Kaalia of the Vast,Vindicate,0.0,0.07,
Kaalia of the Vast,Toxic Deluge,0.0,0.05,
Kaalia of the Vast,Painful Truths,0.0,0.02,
Kaalia of the Vast,Grim Tutor,0.0,0.07,
Kaalia of the Vast,Jeska's Will,0.0,0.02,
Kaalia of the Vast,Austere Command,0.0,0.04,
Kaalia of the Vast,Unburial Rites,0.0,0.07,
Kaalia of the Vast,Vandalblast,0.0,-0.02,
Kaalia of the Vast,Earthquake,0.0,0.08,
Kaalia of the Vast,Armageddon,0.0,0.07,
Kaalia of the Vast,Gamble,0.0,0.01,
Kaalia of the Vast,Damnation,0.0,0.04,
Kaalia of the Vast,Imperial Seal,0.0,0.03,
Kaalia of the Vast,Relentless Assault,0.0,0.05,
Kaalia of the Vast,Merciless Eviction,0.0,0.03,
Kaalia of the Vast,Wheel of Fortune,0.0,0.02,
Kaalia of the Vast,Insatiable Avarice,0.0,0.03,
Kaalia of the Vast,Syphon Mind,0.0,0.04,
Kaalia of the Vast,Full Throttle,0.0,0.03,
Kaalia of the Vast,Whispersilk Cloak,0.0,0.22,
Kaalia of the Vast,Mithril Coat,0.0,0.12,
Kaalia of the Vast,Helm of the Host,0.0,0.11,
Kaalia of the Vast,Strionic Resonator,0.0,0.14,
Kaalia of the Vast,Quicksilver Amulet,0.0,0.12,
Kaalia of the Vast,Lavaspur Boots,0.0,0.1,
Kaalia of the Vast,Wayfarer's Bauble,0.0,-0.0,
Kaalia of the Vast,Whip of Erebos,0.0,0.05,
Kaalia of the Vast,Sensei's Divining Top,0.0,0.04,
Kaalia of the Vast,Brotherhood Regalia,0.0,0.03,
Kaalia of the Vast,Darksteel Plate,0.0,0.04,
Kaalia of the Vast,Sword of Feast and Famine,0.0,0.03,
Kaalia of the Vast,Horn of the Mark,0.0,0.03,
Kaalia of the Vast,Sword of the Animist,0.0,-0.05,
Kaalia of the Vast,Bolas's Citadel,0.0,-0.02,
Kaalia of the Vast,Dragon Tempest,0.0,0.29,
Kaalia of the Vast,Rising of the Day,0.0,0.15,
Kaalia of the Vast,Animate Dead,0.0,0.12,
Kaalia of the Vast,Windcrag Siege,0.0,0.01,
Kaalia of the Vast,Reconnaissance,0.0,0.06,
Kaalia of the Vast,Land Tax,0.0,0.09,
Kaalia of the Vast,Black Market Connections,0.0,-0.02,
Kaalia of the Vast,Phyrexian Reclamation,0.0,0.09,
Kaalia of the Vast,All-Out Assault,0.0,-0.01,
Kaalia of the Vast,Warstorm Surge,0.0,0.07,
Kaalia of the Vast,Aggravated Assault,0.0,0.06,
Kaalia of the Vast,Liliana's Contract,0.0,0.09,
Kaalia of the Vast,Kaya's Ghostform,0.0,0.07,
Kaalia of the Vast,Ghostly Prison,0.0,0.02,
Kaalia of the Vast,Sneak Attack,0.0,0.07,
Kaalia of the Vast,Unholy Annex // Ritual Chamber,0.0,0.07,
Kaalia of the Vast,Rampage of the Valkyries,0.0,0.07,
